StateCode,Year,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance,BDFDB,BDPRP,BFFDB,BFPRP,CLPRB,CLPRK,CLPRP,COPRK,EMFDB,ENPRP,GETCB,HYTCB,NCPRB,NGMPB,NGMPK,NGMPP,NUETB,PAPRB,PAPRP,REPRB,SOTCB,TEPRB,TETCB,WDEXB,WDPRB,WDTCB,WSTCB,WWPRB,WYTCB,GDP,energyConsumption,Population,energyPrice,totalExpenditure
GA,2017,Georgia,141.8352401,185,2884817,1739,320,16168,2850,0,0,0,0,14429,2530,315,22201,43232,0,0,0,352560,0,0,275016,20716,627576,2925877,17323,207534,190211,8082,215617,0,524875,2925877,10410330,17.58,"35,500.30"
GA,2018,Georgia,141.9209237,192,7882488,1378,254,15154,2667,0,0,0,0,13776,2413,315,33656,54929,0,0,0,359262,0,0,288295,20958,647556,3003699,19163,211205,192042,7007,218212,0,539300,3003699,10511131,18.37,"37,661.30"
GA,2019,Georgia,136.4670209,191,2374660,1085,200,16987,2991,0,0,0,0,15901,2792,315,35230,57849,0,0,0,350759,0,0,301842,22304,652601,2955875,19523,220438,200915,6568,227006,0,558277,2955875,10617423,17.97,"36,567.50"
HI,2015,Hawaii,19.7810368,16,1033143,383,70,383,70,0,0,0,0,0,0,2154,1129,17353,0,0,0,0,0,0,24957,8360,24957,298992,0,38,38,7182,7220,5710,75870,298992,1422052,27.11,"5,906.30"
HI,2016,Hawaii,19.81846857,18,429104,451,83,451,83,0,0,0,0,0,0,2409,839,18961,0,0,0,0,0,0,27593,9813,27593,300390,0,35,35,8146,8181,5900,77304,300390,1427559,23.95,"5,215.50"
HI,2017,Hawaii,20.43258289,14,1467132,479,88,479,88,0,0,0,0,0,0,2980,609,21070,0,0,0,0,0,0,26964,12579,26964,308376,0,106,106,5310,5415,4902,78942,308376,1424393,26.1,"5,843.10"
HI,2018,Hawaii,20.30121291,22,5818783,509,94,509,94,0,0,0,0,0,0,1010,879,20439,0,0,0,0,0,0,26299,13070,26299,306342,0,94,94,5257,5351,5480,79855,306342,1420593,30.36,"6,828.70"
HI,2019,Hawaii,20.51554679,14,329849,484,89,484,89,0,0,0,0,0,0,8,842,19884,0,0,0,0,0,0,25273,14320,25273,307764,0,94,94,4812,4905,4714,79175,307764,1415872,29.49,"6,728.10"
IA,2015,Iowa,77.41573961,198,5552396,31304,5762,568234,99820,0,0,0,0,536929,94058,1281,8948,177203,0,0,0,54836,0,0,766862,419,821698,1507520,0,6967,6967,14458,21425,166555,171127,1507520,3120960,13.93,"13,413.60"
IA,2016,Iowa,73.98337008,149,4220545,38419,7071,585659,103054,0,0,0,0,547240,95983,1281,8464,195637,0,0,0,49185,0,0,801820,587,851005,1534622,0,6107,6107,14417,20524,185305,170389,1534622,3131371,12.93,"12,684.60"
IA,2017,Iowa,76.30357904,179,6233820,36996,6810,610395,107368,0,0,0,0,573399,100558,1281,9526,208620,0,0,0,54528,0,0,837092,905,891620,1572298,0,5936,5936,12140,18077,196907,170183,1572298,3141550,13.7,"13,942.20"
IA,2018,Iowa,82.42756253,239,8883799,47215,8690,641146,112725,0,0,0,0,593931,104035,1281,8420,205217,0,0,0,51181,0,0,865784,1291,916965,1633531,0,7254,7254,12166,19420,194225,172929,1633531,3148618,14.64,"15,656.00"
IA,2019,Iowa,77.29621466,120,3041432,44240,8143,637409,112278,0,0,0,0,593169,104135,1281,7091,244222,0,0,0,54671,0,0,901961,1604,956633,1645247,0,8298,8298,12031,20330,234246,172906,1645247,3155070,13.91,"14,981.10"
ID,2015,Idaho,18.03591394,108,1895904,0,0,8871,1554,0,0,0,5.717,8871,1554,2207,81603,105046,1192,1.106,1078,0,172,30,153503,81,154866,540252,0,32130,32130,7455,39585,21156,63081,540252,1651059,16.87,"6,132.70"
ID,2016,Idaho,18.3418212,127,1317624,0,0,9206,1615,0,0,0,5.722,9206,1615,2167,83395,109756,5208,1.123,4637,0,1230,215,151509,390,157946,540164,0,31050,31050,1497,32547,23804,65479,540164,1682380,15.48,"5,717.50"
ID,2017,Idaho,18.70279024,88,988061,0,0,9367,1643,0,0,0,5.723,9367,1643,2280,98306,128436,4192,1.106,3791,0,521,91,173010,4405,177723,557104,0,33266,33266,1941,35206,23444,66981,557104,1717715,16.62,"6,336.20"
ID,2018,Idaho,19.04276093,89,1198524,0,0,9324,1633,0,0,0,5.706,9324,1633,2259,100366,132184,2113,1.136,1860,0,502,88,178935,5388,181550,556467,0,36036,36036,1391,37427,24172,71075,556467,1750536,18.15,"6,947.40"
ID,2019,Idaho,20.08591692,60,910270,0,0,8946,1571,0,0,0,5.698,8946,1571,2354,92017,122586,1139,1.103,1033,0,125,22,169244,5500,170508,565998,0,36240,36240,1471,37711,22715,73912,565998,1787065,17.12,"6,748.20"
IL,2015,Illinois,219.157681,57,2533998,19087,3513,230655,40575,1252879,22.282,56227,5.717,211568,37062,2042,1160,105293,2210,1.062,2080,1017377,54426,9520,355359,1938,2682250,3920125,0,8185,8185,11225,19411,100154,751755,3920125,12858913,15.54,"40,674.30"
IL,2016,Illinois,207.4305588,36,1325335,18598,3423,252801,44501,977131,22.424,43575,5.722,234203,41078,2042,1226,103746,2317,1.061,2183,1031331,49432,8639,375139,2033,2435349,3925630,0,7597,7597,10995,18592,98445,749334,3925630,12820527,14.56,"37,621.80"
IL,2017,Illinois,205.9749865,32,1262924,17714,3260,243223,42808,1079624,22.351,48303,5.723,225509,39548,2042,1153,118502,2260,1.06,2131,1016522,47581,8314,378606,2285,2524593,3890442,0,7430,7430,9450,16880,113023,755595,3890442,12778828,15.86,"40,717.00"
IL,2018,Illinois,213.1001319,64,5112413,18333,3374,226419,39823,1095887,22.147,49482,5.706,208086,36449,2042,1334,114443,2596,1.054,2464,1025651,48045,8420,359817,2739,2531996,4017644,0,8890,8890,10065,18955,108328,774065,4017644,12723071,16.8,"45,009.90"
IL,2019,Illinois,203.43232,84,11321378,17366,3196,218212,38456,1014448,22.103,45895,5.698,200846,35260,2042,1103,135410,2279,1.06,2150,1030996,46969,8243,372731,3503,2467422,3951620,0,9268,9268,9841,19109,128763,777654,3951620,12671821,16,"42,468.80"
IN,2015,Indiana,187.2335142,68,2525723,11841,2179,155552,27354,776493,22.641,34295,5.717,143711,25175,4647,3553,51990,7446,1.027,7250,0,12686,2219,242141,1714,1038766,2826490,0,18061,18061,16538,34599,42077,313751,2826490,6608422,14.99,"27,479.30"
IN,2016,Indiana,181.8275677,45,11391681,12981,2389,166925,29390,654493,22.752,28767,5.722,153944,27001,4647,3935,56205,6441,1.038,6205,0,10397,1817,257458,2391,928789,2777075,0,17951,17951,16378,34328,45232,319602,2777075,6634304,13.78,"24,909.80"
IN,2017,Indiana,175.8904931,46,4052088,12711,2340,169356,29811,713397,22.668,31472,5.723,156644,27471,4647,2820,57387,6168,1.043,5914,0,10181,1779,260439,3032,990185,2674436,0,17548,17548,16148,33696,46889,325842,2674436,6658078,15.15,"26,752.90"
IN,2018,Indiana,189.2161684,59,5700232,12630,2325,174262,30637,781628,22.592,34598,5.706,161632,28312,4647,2027,59866,5292,1.047,5054,0,9609,1684,271248,3693,1067776,2806168,0,20797,20797,16323,37120,49500,337150,2806168,6695497,15.86,"29,506.80"
IN,2019,Indiana,176.1079655,52,1593785,11434,2105,154618,27242,712235,22.569,31559,5.698,143184,25137,4647,2280,66440,5306,1.052,5044,0,8997,1579,257250,4160,983789,2779091,0,20438,20438,15754,36192,55354,338350,2779091,6732219,15.38,"28,773.80"
KS,2015,Kansas,64.51256023,120,2548830,288,53,66484,11649,4387,22.026,199,5.717,66196,11596,974,177,103733,318548,1.121,284184,90254,260015,45481,177374,87,850580,1101677,0,4487,4487,2671,7158,102495,148811,1101677,2909011,17.01,"11,241.40"
KS,2016,Kansas,62.60936987,130,1440764,171,31,67755,11885,617,23.051,27,5.722,67585,11854,974,282,131653,281646,1.151,244795,86245,217116,37944,205800,125,791424,1092806,0,3973,3973,2418,6391,130272,153695,1092806,2910844,16.02,"10,522.60"
KS,2017,Kansas,59.03202784,110,1454281,147,27,69485,12187,0,0,0,5.723,69338,12160,974,269,172818,257200,1.171,219639,111367,205026,35825,248533,231,822127,1075697,0,3566,3566,2664,6230,171344,155408,1075697,2908718,17.3,"11,179.00"
KS,2018,Kansas,62.85277614,67,1041662,71,13,71581,12539,0,0,0,5.706,71510,12526,974,241,173694,237402,1.179,201390,95854,198084,34715,253321,345,784661,1136232,0,4874,4874,3171,8046,172134,158906,1136232,2911359,18.32,"12,583.90"
KS,2019,Kansas,60.4526702,43,992149,3249,598,76308,13424,0,0,0,5.698,73059,12826,974,182,189733,212665,1.162,183087,96565,189202,33205,273764,471,772196,1129559,0,4777,4777,2947,7724,188105,160182,1129559,2913314,17.31,"11,999.00"
KY,2015,Kentucky,131.3429697,129,315635700,4524,833,8246,1485,1486019,24.189,61434,5.717,3723,652,2712,31717,34627,108080,1.127,95907,0,16362,2862,75319,198,1685780,1730308,0,30971,30971,1475,32445,0,182916,1730308,4425976,16.37,"17,478.20"
KY,2016,Kentucky,126.8081795,76,2257870,5658,1041,9693,1749,1041121,24.279,42881,5.722,4035,708,2712,32108,35186,102591,1.119,91640,0,14849,2595,76971,366,1235531,1704124,0,30577,30577,1514,32092,0,184115,1704124,4438182,15.26,"16,181.50"
KY,2017,Kentucky,116.7819997,99,1948714,5989,1102,10054,1815,1015108,24.281,41807,5.723,4065,713,2712,41514,44707,101295,1.142,88715,0,14176,2477,89649,481,1220228,1662333,0,33288,33288,1600,34889,0,185867,1662333,4452268,16.72,"17,352.40"
KY,2018,Kentucky,122.771335,77,2944583,5847,1076,9844,1776,955471,24.043,39740,5.706,3997,700,2712,40220,43651,96085,1.143,84047,0,12924,2265,90231,719,1154710,1744818,0,34301,34301,2435,36736,0,188084,1744818,4461153,17.92,"19,702.70"
KY,2019,Kentucky,115.3817286,63,1092217,5848,1076,10658,1921,852990,23.621,36111,5.698,4810,844,2712,37682,41221,89339,1.147,77882,0,14273,2505,89293,827,1045895,1723238,0,34506,34506,2908,37414,0,191356,1723238,4467673,17.33,"18,960.90"
LA,2015,Louisiana,185.5592561,61,2312261,0,0,0,0,46879,13.633,3439,5.717,0,0,1842,9310,12672,1916410,1.062,1805197,160015,364396,63739,132249,1521,2619950,3911919,0,106587,106587,12990,119577,0,233016,3911919,4664628,10.55,"27,743.20"
LA,2016,Louisiana,189.1398596,98,1499474,0,0,0,0,38499,13.761,2798,5.722,0,0,1842,10183,13876,1893803,1.061,1784396,179391,328643,57435,154742,1851,2595078,4030644,6011,128495,122484,12371,140865,0,228429,4030644,4678135,9.33,"25,055.10"
LA,2017,Louisiana,193.3738211,71,1216601,0,0,0,0,27892,13.419,2079,5.723,0,0,1842,8349,12149,2238355,1.046,2139829,161171,295015,51549,142086,1958,2864519,4208312,5951,116924,110973,13013,129937,0,233774,4208312,4670560,10.51,"29,671.30"
LA,2018,Louisiana,194.74322,86,764829,0,0,0,0,20436,13.778,1483,5.706,0,0,1842,10741,14773,2942607,1.039,2832404,179330,274413,48092,143245,2189,3560031,4245610,6711,113857,107146,14615,128472,0,236266,4245610,4659690,11.61,"32,716.80"
LA,2019,Louisiana,194.892652,67,250695185,0,0,0,0,21251,13.82,1538,5.698,0,0,1842,12161,16254,3330380,1.037,3212318,145993,261527,45898,133669,2251,3892819,4282045,6692,102895,96203,14520,117414,0,235948,4282045,4648794,10.65,"29,884.70"
MA,2015,Massachusetts,66.74652168,34,4240538,36,7,36,7,0,0,0,0,0,0,859,7709,23103,0,0,0,52236,0,0,62787,12535,115022,1468270,0,20876,20876,18772,39648,2000,468061,1468270,6794228,22.34,"24,085.80"
MA,2016,Massachusetts,64.08973529,35,841616,56,10,56,10,0,0,0,0,0,0,859,6578,26927,0,0,0,56628,0,0,65616,17495,122244,1426034,0,18928,18928,19705,38633,1995,475349,1426034,6823608,20.61,"21,535.80"
MA,2017,Massachusetts,64.71316897,44,5852232,110,20,110,20,0,0,0,0,0,0,859,9558,34093,0,0,0,52788,0,0,68467,21532,121256,1431083,0,14920,14920,19345,34264,2143,484414,1431083,6859789,22.04,"23,335.80"
MA,2018,Massachusetts,64.10739497,46,3360964,110,20,110,20,0,0,0,0,0,0,859,10320,41368,0,0,0,46437,0,0,75295,28177,121731,1469311,0,14310,14310,19505,33816,2012,502954,1469311,6882635,24.78,"27,100.50"
MA,2019,Massachusetts,63.32557454,30,1860604,94,17,94,17,0,0,0,0,0,0,859,8687,40935,0,0,0,22734,0,0,74190,29511,96924,1464995,0,16238,16238,16923,33161,1877,517727,1464995,6892503,23.52,"25,786.50"
MD,2015,Maryland,62.28032684,100,1890491,0,0,0,0,45587,23.72,1922,0,0,0,570,15127,24122,40,1.055,38,153140,0,0,47614,4375,246381,1424201,0,14425,14425,9067,23492,4050,348152,1424201,5985562,21.02,"19,705.10"
MD,2016,Maryland,60.46760995,65,1349074,0,0,0,0,37859,23.431,1616,0,0,0,570,12853,25123,36,1.051,34,154377,0,0,48237,6834,240509,1386648,0,14188,14188,8927,23115,4866,360082,1386648,6003323,19.85,"17,893.10"
MD,2017,Maryland,55.040273,48,6343700,0,0,0,0,42804,23.67,1808,0,0,0,570,18108,33197,34,1.047,32,158004,0,0,55339,9348,256180,1346703,0,12954,12954,9188,22142,5172,366681,1346703,6023868,21.22,"18,935.60"
MD,2018,Maryland,61.68531518,61,2306029,0,0,0,0,30464,23.468,1298,0,0,0,570,25772,42987,14,1.042,13,156699,0,0,65963,11456,253139,1391698,0,14204,14204,8772,22975,5189,368644,1391698,6035802,22.08,"20,383.90"
MD,2019,Maryland,56.87149823,73,1428319,0,0,0,0,34661,23.562,1471,0,0,0,570,19485,37802,14,1.044,13,156765,0,0,55557,13115,246996,1355227,0,10199,10199,7556,17755,4633,369624,1355227,6045680,21.45,"19,481.00"
ME,2015,Maine,16.67908857,74,2818563,43,8,43,8,0,0,0,0,0,0,72,31317,43787,0,0,0,0,0,0,161418,323,161418,424754,0,113815,113815,3773,117588,12075,54426,424754,1328262,17.95,"6,041.10"
ME,2016,Maine,16.15310799,41,795948,60,11,60,11,0,0,0,0,0,0,72,27693,43575,0,0,0,0,0,0,141943,418,141943,392025,0,94739,94739,3570,98309,15391,55565,392025,1331317,16.8,"5,271.90"
ME,2017,Maine,15.37643854,42,2223059,55,10,55,10,0,0,0,0,0,0,72,31221,53363,0,0,0,0,0,0,148038,577,148038,384730,0,91105,91105,3515,94619,21493,56663,384730,1334612,18.24,"5,593.10"
ME,2018,Maine,14.76307256,41,2491389,55,10,55,10,0,0,0,0,0,0,72,29689,52233,0,0,0,0,0,0,149435,765,149435,388172,0,93851,93851,3295,97146,21707,58179,388172,1339057,20.16,"6,141.10"
ME,2019,Maine,14.42640502,41,1093090,47,9,47,9,0,0,0,0,0,0,72,31162,54339,0,0,0,0,0,0,148456,897,148456,384261,0,91222,91222,2848,94070,22208,59434,384261,1344212,19.27,"5,874.60"
MI,2015,Michigan,164.4556231,76,3049845,712,131,39033,6844,0,0,0,5.717,38321,6713,5193,13971,64720,114061,1.059,107664,306773,37504,6560,223234,853,681571,2826679,0,98215,98215,21266,119481,44702,443831,2826679,9931715,16.43,"33,018.00"
MI,2016,Michigan,154.5188531,61,1293489,1300,239,40207,7063,0,0,0,5.722,38907,6824,5193,14442,64076,108450,1.063,102003,329999,32266,5639,216674,1089,687389,2806190,0,90056,90056,22336,112392,43351,452325,2806190,9950571,15.57,"30,949.80"
